freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.622e+02,4.810e+01,5.721e+01,6.675e+02
1.5,6.030e+02,2.177e+02,1.820e+02,1.003e+03
3.0,5.415e+02,2.725e+02,1.928e+02,1.007e+03
4.6,8.361e+02,2.457e+02,1.877e+02,1.270e+03
6.1,1.551e+03,2.193e+02,1.298e+02,1.900e+03
7.6,2.442e+03,2.565e+02,1.748e+02,2.873e+03
9.1,3.411e+03,2.623e+02,1.922e+02,3.866e+03
10.6,4.493e+03,2.636e+02,1.772e+02,4.933e+03
12.2,5.760e+03,2.757e+02,1.536e+02,6.189e+03
13.7,7.557e+03,2.587e+02,1.584e+02,7.974e+03
15.2,9.920e+03,2.822e+02,1.649e+02,1.037e+04
16.7,1.258e+04,3.119e+02,1.801e+02,1.308e+04
18.2,1.547e+04,2.702e+02,1.709e+02,1.591e+04
19.8,1.902e+04,2.007e+02,1.414e+02,1.936e+04
21.3,2.336e+04,2.072e+02,1.577e+02,2.373e+04
22.8,2.936e+04,2.372e+02,1.942e+02,2.979e+04
24.3,3.718e+04,2.543e+02,1.783e+02,3.761e+04
25.8,4.583e+04,2.497e+02,2.701e+02,4.635e+04
27.3,4.933e+04,2.099e+02,4.979e+02,5.003e+04
28.9,4.712e+04,2.646e+02,1.027e+03,4.841e+04
30.4,4.892e+04,3.010e+02,1.916e+03,5.114e+04
31.9,5.892e+04,3.200e+02,1.750e+03,6.099e+04
33.4,7.440e+04,3.430e+02,1.942e+03,7.668e+04
34.9,9.384e+04,3.564e+02,1.210e+03,9.541e+04
36.5,1.239e+05,3.970e+02,1.699e+03,1.260e+05
38.0,1.618e+05,4.773e+02,2.445e+03,1.647e+05
39.5,1.995e+05,5.192e+02,3.419e+03,2.035e+05
41.0,2.628e+05,5.059e+02,4.461e+03,2.677e+05
42.5,3.763e+05,4.389e+02,5.418e+03,3.821e+05
44.1,5.769e+05,5.227e+02,6.221e+03,5.837e+05
45.6,9.605e+05,5.622e+02,9.218e+03,9.703e+05
47.1,1.593e+06,5.457e+02,1.909e+04,1.613e+06
48.6,1.849e+06,8.034e+02,2.737e+04,1.877e+06
50.1,1.635e+06,1.102e+03,3.236e+04,1.669e+06
51.7,1.418e+06,1.133e+03,3.341e+04,1.452e+06
53.2,1.255e+06,1.013e+03,3.076e+04,1.286e+06
54.7,1.075e+06,1.545e+03,3.021e+04,1.106e+06
56.2,8.314e+05,3.719e+03,3.035e+04,8.654e+05
57.7,6.293e+05,6.494e+03,2.570e+04,6.615e+05
59.3,5.186e+05,5.128e+03,1.775e+04,5.415e+05
60.8,4.452e+05,5.737e+03,2.092e+04,4.718e+05
62.3,3.679e+05,8.875e+03,2.317e+04,3.999e+05
63.8,3.147e+05,8.712e+03,1.517e+04,3.386e+05
65.3,3.056e+05,1.079e+04,1.040e+04,3.267e+05
66.8,2.888e+05,7.269e+03,5.287e+03,3.014e+05
68.4,2.446e+05,3.416e+03,2.664e+03,2.507e+05
69.9,2.172e+05,2.899e+03,3.586e+03,2.237e+05
71.4,1.949e+05,1.951e+03,3.930e+03,2.008e+05
72.9,1.648e+05,1.177e+03,4.237e+03,1.702e+05
74.4,1.387e+05,8.889e+02,4.272e+03,1.439e+05
76.0,1.175e+05,6.781e+02,4.467e+03,1.226e+05
77.5,1.011e+05,5.189e+02,4.990e+03,1.066e+05
79.0,8.854e+04,7.484e+02,8.037e+03,9.732e+04
80.5,7.390e+04,1.505e+03,1.284e+04,8.824e+04
82.0,5.708e+04,2.343e+03,1.358e+04,7.300e+04
83.6,4.209e+04,2.820e+03,1.112e+04,5.603e+04
85.1,3.551e+04,3.614e+03,8.428e+03,4.755e+04
86.6,4.120e+04,4.644e+03,4.843e+03,5.069e+04
88.1,5.792e+04,5.277e+03,3.678e+03,6.687e+04
89.6,7.463e+04,5.123e+03,5.727e+03,8.548e+04
91.2,9.113e+04,4.587e+03,7.146e+03,1.029e+05
92.7,1.193e+05,3.844e+03,7.553e+03,1.307e+05
94.2,1.452e+05,3.340e+03,5.209e+03,1.538e+05
95.7,1.552e+05,2.578e+03,2.702e+03,1.605e+05
97.2,1.345e+05,2.274e+03,2.191e+03,1.390e+05
98.8,1.112e+05,2.155e+03,1.719e+03,1.151e+05
100.3,9.372e+04,2.015e+03,1.424e+03,9.716e+04
101.8,8.129e+04,2.059e+03,1.122e+03,8.447e+04
103.3,8.018e+04,2.635e+03,8.039e+02,8.362e+04
104.8,8.830e+04,3.122e+03,1.140e+03,9.256e+04
106.3,9.667e+04,3.720e+03,1.717e+03,1.021e+05
107.9,1.054e+05,4.987e+03,2.386e+03,1.128e+05
109.4,1.111e+05,6.216e+03,3.062e+03,1.204e+05
110.9,1.039e+05,6.086e+03,2.114e+03,1.121e+05
112.4,9.174e+04,5.596e+03,1.095e+03,9.843e+04
113.9,7.799e+04,5.049e+03,9.048e+02,8.394e+04
115.5,6.571e+04,4.276e+03,1.301e+03,7.129e+04
117.0,5.489e+04,3.438e+03,2.527e+03,6.085e+04
118.5,4.461e+04,3.224e+03,3.529e+03,5.136e+04
120.0,3.350e+04,4.019e+03,5.599e+03,4.312e+04
121.5,2.739e+04,4.066e+03,8.087e+03,3.954e+04
123.1,2.109e+04,3.609e+03,7.574e+03,3.227e+04
124.6,2.102e+04,4.835e+03,8.548e+03,3.440e+04
126.1,3.654e+04,6.835e+03,1.190e+04,5.528e+04
127.6,6.526e+04,9.367e+03,1.468e+04,8.930e+04
129.1,9.074e+04,1.166e+04,1.740e+04,1.198e+05
130.7,1.030e+05,9.788e+03,2.580e+04,1.386e+05
132.2,1.005e+05,7.561e+03,2.656e+04,1.346e+05
133.7,3.491e+04,3.001e+03,8.967e+03,4.688e+04
135.2,6.174e+03,6.897e+02,1.896e+03,8.760e+03
136.7,5.438e+03,6.059e+02,1.604e+03,7.647e+03
138.3,4.890e+03,6.740e+02,1.554e+03,7.118e+03
139.8,4.430e+03,8.273e+02,1.444e+03,6.701e+03
141.3,4.007e+03,6.371e+02,1.358e+03,6.002e+03
142.8,3.937e+03,5.916e+02,1.111e+03,5.640e+03
144.3,3.224e+03,5.742e+02,8.956e+02,4.694e+03
145.8,2.718e+03,6.907e+02,8.461e+02,4.255e+03
147.4,2.835e+03,7.755e+02,9.084e+02,4.519e+03
148.9,3.067e+03,6.318e+02,8.962e+02,4.595e+03
150.4,3.947e+03,6.317e+02,8.828e+02,5.462e+03
151.9,4.581e+03,6.971e+02,9.408e+02,6.219e+03
153.4,5.172e+03,6.662e+02,1.058e+03,6.896e+03
155.0,6.694e+03,8.644e+02,1.282e+03,8.840e+03
156.5,8.622e+03,1.110e+03,1.483e+03,1.122e+04
158.0,8.815e+03,1.244e+03,1.689e+03,1.175e+04
159.5,7.812e+03,1.316e+03,1.492e+03,1.062e+04
161.0,8.071e+03,1.663e+03,1.346e+03,1.108e+04
162.6,8.333e+03,1.429e+03,1.483e+03,1.124e+04
164.1,9.865e+03,1.391e+03,1.766e+03,1.302e+04
165.6,1.166e+04,1.329e+03,1.954e+03,1.495e+04
167.1,1.197e+04,1.393e+03,2.115e+03,1.548e+04
168.6,1.171e+04,1.413e+03,2.261e+03,1.538e+04
170.2,1.243e+04,1.544e+03,2.405e+03,1.638e+04
171.7,1.366e+04,1.515e+03,2.809e+03,1.798e+04
173.2,1.525e+04,1.591e+03,3.385e+03,2.023e+04
174.7,1.648e+04,1.830e+03,3.846e+03,2.215e+04
176.2,1.650e+04,1.864e+03,3.965e+03,2.233e+04
177.8,1.848e+04,2.060e+03,4.434e+03,2.498e+04
179.3,2.086e+04,2.223e+03,4.799e+03,2.788e+04
180.8,2.221e+04,2.468e+03,5.019e+03,2.970e+04
182.3,2.499e+04,2.945e+03,5.675e+03,3.361e+04
183.8,2.185e+04,2.286e+03,4.737e+03,2.888e+04
185.3,1.605e+04,1.189e+03,3.059e+03,2.029e+04
186.9,1.912e+04,1.180e+03,3.416e+03,2.371e+04
188.4,2.786e+04,1.741e+03,4.744e+03,3.435e+04
189.9,1.730e+04,1.225e+03,2.763e+03,2.129e+04
191.4,1.108e+04,1.109e+03,1.757e+03,1.395e+04
192.9,1.291e+04,1.582e+03,2.027e+03,1.652e+04
194.5,1.722e+04,1.967e+03,2.594e+03,2.178e+04
196.0,2.068e+04,2.147e+03,3.075e+03,2.590e+04
197.5,2.179e+04,2.024e+03,3.209e+03,2.703e+04
199.0,2.385e+04,2.375e+03,3.588e+03,2.981e+04
