freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.286e+01,8.692e+01,6.550e+02,7.648e+02
1.5,9.818e+01,1.686e+02,4.035e+02,6.702e+02
3.0,1.106e+02,1.432e+02,6.358e+01,3.174e+02
4.6,9.936e+01,1.346e+02,3.449e+02,5.789e+02
6.1,9.190e+01,1.429e+02,1.291e+03,1.526e+03
7.6,9.907e+01,1.424e+02,2.235e+03,2.476e+03
9.1,1.006e+02,1.375e+02,3.357e+03,3.595e+03
10.6,9.427e+01,1.295e+02,4.939e+03,5.163e+03
12.2,9.087e+01,1.155e+02,6.860e+03,7.067e+03
13.7,9.183e+01,1.118e+02,9.479e+03,9.683e+03
15.2,9.329e+01,1.102e+02,1.304e+04,1.324e+04
16.7,9.937e+01,1.282e+02,1.772e+04,1.795e+04
18.2,1.105e+02,1.344e+02,2.400e+04,2.424e+04
19.7,1.133e+02,1.078e+02,3.262e+04,3.284e+04
21.3,1.251e+02,1.152e+02,4.531e+04,4.556e+04
22.8,1.234e+02,1.311e+02,6.536e+04,6.562e+04
24.3,1.875e+02,1.893e+02,9.894e+04,9.931e+04
25.8,8.532e+02,3.156e+02,1.468e+05,1.480e+05
27.3,1.906e+03,5.586e+02,1.950e+05,1.975e+05
28.9,1.604e+03,1.246e+03,2.995e+05,3.024e+05
30.4,1.416e+03,5.538e+03,7.711e+05,7.780e+05
31.9,1.730e+03,1.152e+04,1.183e+06,1.196e+06
33.4,1.577e+03,1.123e+04,8.889e+05,9.017e+05
34.9,1.242e+03,1.166e+04,7.353e+05,7.482e+05
36.5,5.942e+02,1.431e+04,7.504e+05,7.653e+05
38.0,2.265e+02,1.580e+04,6.857e+05,7.017e+05
39.5,2.223e+02,1.680e+04,5.896e+05,6.066e+05
41.0,2.830e+02,1.814e+04,5.178e+05,5.362e+05
42.5,3.974e+02,2.056e+04,4.766e+05,4.975e+05
44.1,5.752e+02,2.401e+04,4.528e+05,4.774e+05
45.6,8.000e+02,2.926e+04,4.356e+05,4.656e+05
47.1,1.191e+03,3.433e+04,4.059e+05,4.414e+05
48.6,1.826e+03,3.899e+04,3.638e+05,4.047e+05
50.1,2.543e+03,4.579e+04,3.381e+05,3.864e+05
51.7,2.338e+03,5.932e+04,3.341e+05,3.958e+05
53.2,3.202e+03,8.298e+04,3.510e+05,4.372e+05
54.7,7.029e+03,1.145e+05,3.657e+05,4.873e+05
56.2,8.898e+03,1.532e+05,3.643e+05,5.264e+05
57.7,1.486e+04,2.341e+05,3.802e+05,6.291e+05
59.2,1.853e+04,2.848e+05,3.291e+05,6.325e+05
60.8,1.665e+04,2.406e+05,2.161e+05,4.734e+05
62.3,1.604e+04,1.774e+05,1.262e+05,3.196e+05
63.8,1.583e+04,1.572e+05,8.270e+04,2.558e+05
65.3,1.169e+04,1.602e+05,6.192e+04,2.338e+05
66.8,4.355e+03,1.301e+05,3.671e+04,1.711e+05
68.4,2.362e+03,1.058e+05,1.810e+04,1.262e+05
69.9,2.127e+03,9.207e+04,1.127e+04,1.055e+05
71.4,2.043e+03,7.703e+04,8.861e+03,8.794e+04
72.9,2.299e+03,6.301e+04,8.213e+03,7.352e+04
74.4,2.757e+03,5.363e+04,1.021e+04,6.660e+04
76.0,3.028e+03,4.728e+04,1.240e+04,6.271e+04
77.5,3.015e+03,4.128e+04,1.688e+04,6.118e+04
79.0,2.345e+03,3.657e+04,2.656e+04,6.548e+04
80.5,1.871e+03,3.667e+04,3.627e+04,7.481e+04
82.0,1.580e+03,3.961e+04,4.856e+04,8.975e+04
83.6,1.390e+03,4.052e+04,7.201e+04,1.139e+05
85.1,1.136e+03,3.614e+04,9.583e+04,1.331e+05
86.6,8.058e+02,2.632e+04,9.952e+04,1.266e+05
88.1,6.282e+02,1.527e+04,7.702e+04,9.292e+04
89.6,7.092e+02,7.955e+03,4.667e+04,5.533e+04
91.1,8.238e+02,4.369e+03,2.887e+04,3.406e+04
92.7,7.743e+02,2.511e+03,2.409e+04,2.738e+04
94.2,7.962e+02,1.753e+03,2.005e+04,2.260e+04
95.7,1.178e+03,1.444e+03,1.552e+04,1.814e+04
97.2,1.344e+03,1.114e+03,1.233e+04,1.478e+04
98.7,1.728e+03,7.652e+02,1.028e+04,1.278e+04
100.3,2.135e+03,5.740e+02,8.231e+03,1.094e+04
101.8,2.062e+03,5.565e+02,6.514e+03,9.132e+03
103.3,1.512e+03,6.530e+02,4.947e+03,7.112e+03
104.8,1.690e+03,7.433e+02,3.244e+03,5.678e+03
106.3,2.293e+03,7.717e+02,1.827e+03,4.892e+03
107.9,2.004e+03,1.341e+03,1.912e+03,5.257e+03
109.4,1.289e+03,2.890e+03,2.217e+03,6.395e+03
110.9,9.177e+02,4.871e+03,2.920e+03,8.709e+03
112.4,9.557e+02,6.330e+03,3.273e+03,1.056e+04
113.9,1.240e+03,6.280e+03,3.048e+03,1.057e+04
115.5,1.095e+03,5.189e+03,2.494e+03,8.778e+03
117.0,1.632e+03,4.005e+03,2.292e+03,7.929e+03
118.5,2.662e+03,2.725e+03,2.267e+03,7.654e+03
120.0,3.532e+03,1.525e+03,2.471e+03,7.528e+03
121.5,4.069e+03,8.253e+02,3.149e+03,8.043e+03
123.0,4.572e+03,5.339e+02,3.981e+03,9.087e+03
124.6,5.140e+03,6.791e+02,4.865e+03,1.068e+04
126.1,5.515e+03,1.542e+03,6.393e+03,1.345e+04
127.6,5.395e+03,3.049e+03,7.836e+03,1.628e+04
129.1,4.489e+03,4.828e+03,8.247e+03,1.756e+04
130.6,5.292e+03,8.615e+03,7.481e+03,2.139e+04
132.2,4.497e+03,6.258e+03,2.899e+03,1.365e+04
133.7,2.584e+03,1.177e+03,8.912e+02,4.652e+03
135.2,2.607e+03,3.328e+02,8.351e+02,3.775e+03
136.7,2.318e+03,2.947e+02,7.600e+02,3.372e+03
138.2,2.324e+03,3.137e+02,7.650e+02,3.402e+03
139.8,2.511e+03,2.806e+02,8.061e+02,3.598e+03
141.3,2.617e+03,2.880e+02,8.316e+02,3.737e+03
142.8,2.722e+03,2.832e+02,7.903e+02,3.796e+03
144.3,2.725e+03,2.573e+02,7.417e+02,3.724e+03
145.8,2.709e+03,2.660e+02,7.169e+02,3.692e+03
147.4,2.856e+03,3.051e+02,7.255e+02,3.887e+03
148.9,3.172e+03,3.024e+02,7.330e+02,4.208e+03
150.4,2.934e+03,3.251e+02,6.565e+02,3.916e+03
151.9,2.938e+03,3.712e+02,6.111e+02,3.921e+03
153.4,2.916e+03,3.726e+02,6.557e+02,3.945e+03
155.0,3.738e+03,3.679e+02,9.760e+02,5.082e+03
156.5,5.084e+03,4.285e+02,1.341e+03,6.854e+03
158.0,4.845e+03,4.265e+02,1.200e+03,6.472e+03
159.5,4.015e+03,4.629e+02,9.993e+02,5.477e+03
161.0,4.251e+03,5.261e+02,1.201e+03,5.978e+03
162.5,3.938e+03,4.706e+02,1.128e+03,5.536e+03
164.1,3.911e+03,4.701e+02,1.028e+03,5.410e+03
165.6,4.059e+03,4.221e+02,1.048e+03,5.529e+03
167.1,4.428e+03,4.907e+02,1.088e+03,6.006e+03
168.6,5.246e+03,6.164e+02,1.258e+03,7.120e+03
170.1,6.183e+03,6.905e+02,1.497e+03,8.371e+03
171.7,6.203e+03,6.971e+02,1.610e+03,8.509e+03
173.2,7.066e+03,7.141e+02,1.978e+03,9.758e+03
174.7,8.183e+03,7.118e+02,2.505e+03,1.140e+04
176.2,8.175e+03,6.725e+02,2.566e+03,1.141e+04
177.7,7.842e+03,7.128e+02,2.537e+03,1.109e+04
179.3,7.826e+03,8.985e+02,2.539e+03,1.126e+04
180.8,8.773e+03,9.731e+02,2.878e+03,1.262e+04
182.3,1.156e+04,9.927e+02,3.318e+03,1.587e+04
183.8,1.393e+04,1.016e+03,3.525e+03,1.847e+04
185.3,1.882e+04,1.266e+03,4.654e+03,2.474e+04
186.9,1.309e+04,1.068e+03,3.283e+03,1.744e+04
188.4,7.318e+03,8.663e+02,1.883e+03,1.007e+04
189.9,6.755e+03,8.339e+02,1.475e+03,9.064e+03
191.4,6.515e+03,7.277e+02,1.257e+03,8.500e+03
192.9,6.268e+03,6.583e+02,1.299e+03,8.225e+03
194.4,6.936e+03,6.347e+02,1.409e+03,8.979e+03
196.0,7.856e+03,5.944e+02,1.524e+03,9.974e+03
197.5,8.353e+03,6.906e+02,1.581e+03,1.062e+04
199.0,8.975e+03,8.370e+02,1.675e+03,1.149e+04
